start_time,end_time,amount_value,amount_currency,line_item,project_id,organization_id,project_name,organization_name
1738368000,1738454400,,,,,,,
1738454400,1738540800,,,,,,,
1738540800,1738627200,0.9651875,usd,"gpt-4o-2024-08-06, input",proj_uvBRUf6zFgDOQLXBdS8ce4bE,org-DifcBmJDK8sUlBTukjjX7J7H,Default project,Personal
1738540800,1738627200,0.00624,usd,"gpt-4o-2024-08-06, cached input",proj_uvBRUf6zFgDOQLXBdS8ce4bE,org-DifcBmJDK8sUlBTukjjX7J7H,Default project,Personal
1738540800,1738627200,0.42179,usd,"gpt-4o-2024-08-06, output",proj_uvBRUf6zFgDOQLXBdS8ce4bE,org-DifcBmJDK8sUlBTukjjX7J7H,Default project,Personal
1738627200,1738713600,24.568305,usd,"gpt-4o-2024-08-06, input",proj_uvBRUf6zFgDOQLXBdS8ce4bE,org-DifcBmJDK8sUlBTukjjX7J7H,Default project,Personal
1738627200,1738713600,0.16143999999999997,usd,"gpt-4o-2024-08-06, cached input",proj_uvBRUf6zFgDOQLXBdS8ce4bE,org-DifcBmJDK8sUlBTukjjX7J7H,Default project,Personal
1738627200,1738713600,12.459360000000002,usd,"gpt-4o-2024-08-06, output",proj_uvBRUf6zFgDOQLXBdS8ce4bE,org-DifcBmJDK8sUlBTukjjX7J7H,Default project,Personal
1738713600,1738800000,47.2756075,usd,"gpt-4o-2024-08-06, input",proj_uvBRUf6zFgDOQLXBdS8ce4bE,org-DifcBmJDK8sUlBTukjjX7J7H,Default project,Personal
1738713600,1738800000,0.09151999999999999,usd,"gpt-4o-2024-08-06, cached input",proj_uvBRUf6zFgDOQLXBdS8ce4bE,org-DifcBmJDK8sUlBTukjjX7J7H,Default project,Personal
1738713600,1738800000,26.284499999999998,usd,"gpt-4o-2024-08-06, output",proj_uvBRUf6zFgDOQLXBdS8ce4bE,org-DifcBmJDK8sUlBTukjjX7J7H,Default project,Personal
1738800000,1738886400,0.912825,usd,"gpt-4o-2024-08-06, input",proj_uvBRUf6zFgDOQLXBdS8ce4bE,org-DifcBmJDK8sUlBTukjjX7J7H,Default project,Personal
1738800000,1738886400,0.00128,usd,"gpt-4o-2024-08-06, cached input",proj_uvBRUf6zFgDOQLXBdS8ce4bE,org-DifcBmJDK8sUlBTukjjX7J7H,Default project,Personal
1738800000,1738886400,0.53517,usd,"gpt-4o-2024-08-06, output",proj_uvBRUf6zFgDOQLXBdS8ce4bE,org-DifcBmJDK8sUlBTukjjX7J7H,Default project,Personal
